,city,g2000,p2000,country_x,2000_ls,region,Regional_label,g2010,g2015,g2020,g2025,g2030,g2035,g2040,g2045,g2050,p2010,p2015,p2020,p2025,p2030,p2035,p2040,p2045,p2050
226,Bogota,263.19376664841934,39.764165999999996,Colombia,612,Americas,1,392.55,493.714,605.146,707.202,829.777,967.583,1123.587,1295.192,1482.473,46.29484099999996,49.33240659242045,52.23309284313656,54.91513716461705,57.32776862698464,59.4222074275712,61.22450228097673,62.73497383441811,63.900053222018656
227,Bogota,263.19376664841934,39.764165999999996,Colombia,612,Americas,1,392.55,496.817,612.902,706.791,801.137,888.441,978.445,1069.209,1162.19,46.29484099999996,49.64238482412598,53.12304614873125,56.61385817060551,60.05140595243303,63.27728948764144,66.34614434610371,69.30448196779237,72.16447212525742
228,Bogota,263.19376664841934,39.764165999999996,Colombia,612,Americas,1,392.55,492.377,600.576,694.683,807.242,930.891,1065.687,1206.451,1353.001,46.29484099999996,49.19882652379587,51.85178748539882,54.13238393252711,55.96009466604309,57.4265424955059,58.48574845433891,59.1190971633089,59.31783568606736
229,Bogota,263.19376664841934,39.764165999999996,Colombia,612,Americas,1,392.55,491.036,600.653,730.201,927.214,1192.291,1503.977,1850.935,2224.531,46.29484099999996,49.06474231561209,51.411083166433066,53.35601754174633,54.89778196677156,56.12236433262275,56.98083922472173,57.450992428558315,57.540068526213034
230,Madrid,1011.7670706667714,40.288457,Spain,745,Europe,3,1242.302,1312.088,1396.963,1488.19,1613.352,1763.993,1921.023,2075.757,2237.528,46.07698899999996,47.86590057477402,48.941791719924595,49.84849869153921,50.705439126263585,51.6460361420978,52.6606011261529,53.59524822494237,54.309667583710514
231,Madrid,1011.7670706667714,40.288457,Spain,745,Europe,3,1242.302,1310.597,1392.132,1472.78,1569.988,1675.917,1784.012,1892.213,2013.412,46.07698899999996,47.81152382147154,48.76902109803651,49.53335170202673,50.20777957492835,50.923579429508855,51.674639907281126,52.327225967769216,52.76037011158704
232,Madrid,1011.7670706667714,40.288457,Spain,745,Europe,3,1242.302,1298.551,1360.832,1403.655,1444.081,1473.532,1487.774,1487.529,1489.234,46.07698899999996,47.37208332476328,47.696629882309416,47.53813254153086,47.15788153938692,46.71448577994717,46.17389647885593,45.39245991080317,44.26051943905912
233,Madrid,1011.7670706667714,40.288457,Spain,745,Europe,3,1242.302,1307.643,1382.527,1458.268,1561.82,1684.424,1807.919,1928.018,2060.946,46.07698899999996,47.70374981955613,48.51790418529784,49.089822042757476,49.50862527515622,49.94090864008516,50.3497028734609,50.5937650127379,50.55126578069633
234,Madrid,1011.7670706667714,40.288457,Spain,745,Europe,3,1242.302,1322.096,1422.13,1549.955,1744.121,1996.697,2280.395,2589.511,2938.509,46.07698899999996,48.23100674892433,49.851939002174646,51.566414117294855,53.35407758526276,55.314591984755175,57.4710082636767,59.682644436423956,61.811059329820026
235,Buenos Aires,379.7365322291021,36.930709,Argentina,2687,Americas,1,580.427,715.981,861.408,1034.757,1234.956,1460.154,1689.617,1908.124,2112.17,40.41237600000001,41.866379893119486,43.04365325900875,43.95591391146608,44.61070718612247,45.095283839393275,45.36665164557014,45.39029883025082,45.17281439271291
236,Buenos Aires,379.7365322291021,36.930709,Argentina,2687,Americas,1,580.427,719.037,867.442,1027.986,1198.221,1375.798,1553.995,1730.236,1911.358,40.41237600000001,42.04509454737903,43.569535197468475,44.938884575666336,46.155339338844534,47.218674344842555,48.141526793872785,48.85444678850114,49.37701305236464
237,Buenos Aires,379.7365322291021,36.930709,Argentina,2687,Americas,1,580.427,722.739,875.897,1021.622,1153.872,1270.473,1374.993,1468.189,1561.54,40.41237600000001,42.261561678681296,44.24371240292323,46.28366667752478,48.33754419625849,50.3099520175971,52.23887387922843,54.146883408341075,56.05214386359922
238,Buenos Aires,379.7365322291021,36.930709,Argentina,2687,Americas,1,580.427,716.973,859.903,1005.794,1157.428,1308.585,1449.039,1574.7,1696.619,40.41237600000001,41.92438011700859,43.23261214965522,44.27124832359527,45.017819375524766,45.57013231566213,45.890664457423995,45.94615853023196,45.73379423252093
239,Buenos Aires,379.7365322291021,36.930709,Argentina,2687,Americas,1,580.427,715.355,861.04,1051.834,1300.414,1599.623,1910.408,2217.79,2519.476,40.41237600000001,41.82978573470693,42.929507726291924,43.721807088197274,44.25246049855369,44.610582677622965,44.756344173190726,44.657304955634174,44.32151410607362
240,Kiev,181.77548527931282,48.891792,Ukraine,543,Europe,3,276.283,331.119,396.812,492.94,621.655,776.935,939.575,1095.765,1239.716,45.44832899999997,44.092584294207896,42.807958790042626,41.677111811166,40.69096681666798,39.83869734625789,39.07375627754399,38.302406604461055,37.4818164600833
241,Kiev,181.77548527931282,48.891792,Ukraine,543,Europe,3,276.283,331.348,393.901,471.191,558.995,653.581,752.798,852.975,954.254,45.44832899999997,44.123076791853684,42.93916775712575,41.9482497764746,41.093939318448626,40.382137119862705,39.814330533333255,39.32670419555707,38.88203311811313
242,Kiev,181.77548527931282,48.891792,Ukraine,543,Europe,3,276.283,331.56,391.36,453.514,511.526,561.15,607.553,649.29,688.468,45.44832899999997,44.15142528209076,43.02046527411335,41.95816932369668,40.97015597910713,40.06388883942289,39.368290232016484,38.85562957311888,38.50056389562834
243,Kiev,181.77548527931282,48.891792,Ukraine,543,Europe,3,276.283,330.578,391.264,466.181,553.49,647.763,745.575,841.972,936.671,45.44832899999997,44.02065199387887,42.658087987185624,41.41502954799299,40.23528086326592,39.17374206355827,38.19415027709316,37.219797108679984,36.21642052450532
244,Kiev,181.77548527931282,48.891792,Ukraine,543,Europe,3,276.283,331.186,400.433,518.186,690.3,909.529,1147.082,1389.195,1629.34,45.44832899999997,44.101563224250384,42.88344886218063,41.944909207696966,41.23226808257563,40.69337968560806,40.2466174961883,39.77841104276595,39.24165230174368
245,Kampala,18.729947336939453,24.21312,Uganda,305,Africa,0,38.411,50.628,71.123,105.125,159.596,243.692,366.797,540.315,776.072,33.424683,38.47424135017199,43.74838738207603,49.2444206297169,54.83220116112395,60.59551397860544,66.23474056166917,71.52609100513918,76.37108351871102
