,city,sl_2016,sl_2017,sl_2018,sl_2019,sl_2020,sl_2021,sl_2022,sl_2023,sl_2024,sl_2025,sl_2026,sl_2027,sl_2028,sl_2029,sl_2030,sl_2031,sl_2032,sl_2033,sl_2034,sl_2035,sl_2036,sl_2037,sl_2038,sl_2039,sl_2040,sl_2041,sl_2042,sl_2043,sl_2044,sl_2045,sl_2046,sl_2047,sl_2048,sl_2049,sl_2050
78,Port au Prince,724.7,725.02,725.28,725.64,726.05,726.39,726.85,727.24,727.71,728.18,728.69,729.08,729.52,730.11,730.6,731.04,731.51,731.91,732.39,732.8,733.3,733.79,734.38,734.9,735.55,736.02,736.55,737.17,737.61,738.05,738.63,739.0,739.52,739.93,740.47
79,Santo Domingo,604.44,606.02,607.39,609.1,610.53,611.93,613.66,614.84,616.42,617.7,618.99,620.14,621.46,622.55,623.96,625.0,626.12,627.27,628.44,629.51,630.56,631.84,633.11,634.36,635.58,636.91,638.42,639.92,641.35,642.6,644.09,645.47,646.6,647.98,649.37
80,Prague,516.5,517.04,517.78,518.41,519.07,519.84,520.51,521.15,521.82,522.63,523.4,523.93,524.91,525.59,526.36,527.17,527.92,528.75,529.44,530.26,531.28,532.11,532.96,533.72,534.42,535.24,536.01,536.9,537.83,538.53,539.4,540.14,540.95,541.88,542.97
81,Lisbon,826.17,827.1,828.0,828.88,829.69,830.78,831.88,833.02,833.9,835.05,836.24,837.27,838.72,839.98,841.02,841.92,843.17,844.29,845.49,846.79,847.91,849.19,850.42,851.39,852.59,853.83,854.92,856.02,857.25,858.63,859.96,861.2,862.72,863.89,865.02
82,Stockholm,494.99,495.76,496.47,497.23,497.91,498.71,499.53,500.23,501.03,501.91,502.67,503.41,504.2,504.99,505.89,506.85,507.92,508.8,509.69,510.73,511.6,512.49,513.4,514.26,515.23,516.26,517.25,518.08,519.18,520.18,521.09,522.15,523.26,524.15,525.36
83,Baku,427.53,428.14,428.71,429.3,429.89,430.55,431.07,431.71,432.13,432.82,433.53,434.01,434.59,435.22,435.76,436.39,437.02,437.59,438.22,439.04,439.71,440.4,441.21,442.01,442.61,443.23,443.83,444.5,445.23,446.04,446.6,447.4,448.02,448.61,449.34
84,Budapest,780.02,782.04,783.82,785.34,786.91,788.6,790.76,792.69,794.6,796.61,798.72,801.11,802.95,804.76,806.67,808.86,811.11,813.36,815.7,818.05,820.5,822.71,824.76,826.77,829.02,831.35,833.35,835.5,837.84,839.96,842.31,844.54,846.53,848.78,850.74
85,Amman,775.94,780.49,785.23,790.29,795.5,806.67,812.54,817.46,823.39,830.75,836.18,842.84,849.83,857.24,867.16,872.78,881.37,889.22,898.35,907.47,918.22,926.79,938.14,949.44,962.45,973.33,986.72,999.42,1012.66,1027.51,1041.48,1056.33,1071.55,1085.59,1102.85
86,Minsk,343.01,343.37,343.88,344.39,344.84,345.27,345.92,346.55,347.14,347.73,348.36,348.98,349.61,350.3,350.86,351.5,352.3,352.91,353.55,354.32,354.84,355.59,356.26,357.07,357.84,358.63,359.44,360.26,361.2,361.95,362.59,363.63,364.38,365.25,366.08
87,Abu Dhabi,176.83,176.86,176.98,177.12,177.2,177.41,177.51,177.63,177.81,178.04,178.21,178.27,178.42,178.63,178.96,179.11,179.36,179.5,179.59,179.72,179.88,180.16,180.42,180.52,180.64,180.9,181.15,181.41,181.61,181.78,181.88,182.11,182.42,182.65,182.84
88,Belgrade,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0
89,Vienna,517.26,517.27,517.29,517.38,517.44,517.46,517.54,517.67,517.8,517.85,517.92,518.03,518.11,518.22,518.35,518.52,518.61,518.8,518.94,519.01,519.14,519.27,519.37,519.5,519.59,519.79,519.92,520.04,520.17,520.33,520.51,520.63,520.78,520.9,520.97
90,Bern,381.47,381.01,380.76,381.64,392.6,381.89,381.86,382.6,384.96,385.63,386.39,386.57,387.32,387.55,395.06,388.72,390.21,390.68,390.85,390.34,390.24,390.95,391.78,393.35,397.78,393.83,394.42,394.79,395.18,395.69,395.67,396.24,396.41,396.47,401.18
91,Tel Aviv1,1164.31,1166.1,1167.41,1168.87,1170.62,1172.37,1173.94,1175.55,1177.16,1178.87,1180.42,1181.99,1183.55,1185.08,1186.61,1188.51,1190.43,1192.19,1193.92,1195.46,1197.05,1198.82,1200.6,1202.46,1204.15,1205.76,1207.63,1209.33,1211.4,1213.2,1214.93,1216.56,1218.14,1219.95,1221.61
92,Lome,998.05,1080.65,1166.65,1258.19,1351.9,1451.75,1554.58,1660.96,1767.64,1879.15,1994.31,2105.85,2220.3,2333.32,2449.68,2564.0,2675.09,2784.47,2891.3,2996.96,3099.53,3200.38,3295.85,3388.55,3476.83,3564.05,3647.74,3728.37,3805.45,3879.47,3949.42,4017.1,4084.19,4147.46,4204.13
93,Sofia,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0
94,Asuncion,720.71,736.19,752.73,771.18,786.03,806.6,826.19,846.44,865.19,882.68,903.95,926.6,949.47,974.6,996.91,1025.52,1053.66,1080.93,1110.21,1139.78,1169.87,1200.96,1232.99,1265.96,1292.45,1332.14,1366.14,1399.4,1435.12,1469.32,1503.63,1540.79,1576.8,1613.24,1642.08
95,San Salvador,745.83,748.21,748.94,746.22,750.27,747.27,747.76,748.45,749.22,749.98,750.62,751.01,752.14,753.01,756.97,752.64,753.19,753.98,754.73,755.63,756.41,757.03,757.85,758.61,764.36,759.99,760.73,761.33,762.98,764.0,764.83,765.75,766.67,767.38,772.32
96,Managua,302.31,302.66,302.9,303.27,303.44,303.82,304.23,304.6,305.09,305.58,306.09,306.58,307.03,307.38,307.85,308.45,308.92,309.48,310.03,310.49,311.04,311.61,312.25,312.68,313.37,314.01,314.53,315.04,315.62,316.09,316.81,317.41,318.23,318.83,319.46
97,Beirut,560.55,561.2,561.75,562.26,562.78,563.4,563.8,564.09,564.48,564.86,565.15,565.75,566.04,566.39,566.69,567.0,567.3,567.52,567.68,567.98,568.25,568.44,568.7,568.86,569.0,569.26,569.6,569.83,570.24,570.47,570.69,570.91,571.23,571.54,571.56
98,Copenhagen,713.59,715.34,717.31,719.08,720.94,723.02,725.02,727.07,728.82,730.82,732.64,734.73,736.62,738.67,740.59,742.46,744.75,746.68,748.75,750.6,752.9,755.08,757.36,759.5,761.68,763.77,765.7,767.9,770.13,772.54,774.91,777.0,779.34,781.64,783.78
99,Singapore,1130.55,1167.58,1205.48,1246.51,1285.53,1334.16,1380.91,1428.79,1477.71,1529.25,1580.46,1631.7,1685.68,1740.72,1794.72,1852.29,1908.88,1965.36,2021.28,2076.87,2131.19,2185.93,2237.89,2289.54,2336.78,2387.4,2431.59,2473.92,2512.37,2548.48,2581.71,2613.47,2643.27,2672.77,2697.92
100,Helsinki,391.31,391.68,392.17,392.72,393.3,393.88,394.53,395.16,395.73,396.27,396.98,397.53,398.07,398.66,399.36,399.96,400.56,401.2,401.99,402.72,403.38,404.11,404.7,405.37,406.13,406.73,407.47,408.28,409.03,409.52,410.3,410.96,411.74,412.44,413.19
101,Oslo,323.17,323.19,323.46,322.8,327.43,318.94,322.47,321.32,321.54,321.79,322.14,322.29,321.08,321.29,329.13,322.86,323.03,323.61,323.74,324.48,324.21,324.35,324.61,324.64,329.2,324.39,323.32,323.62,324.04,324.23,324.41,324.65,325.11,325.36,329.4
102,San Jose,1719.28,1725.34,1730.9,1736.13,1740.89,1746.65,1751.43,1754.78,1758.42,1761.2,1764.46,1767.4,1770.2,1772.74,1776.2,1777.73,1779.8,1781.88,1784.01,1786.82,1788.79,1790.52,1792.88,1794.44,1796.28,1797.91,1799.02,1801.03,1802.58,1804.43,1806.27,1807.81,1809.41,1811.19,1812.08
103,Dublin,596.12,597.07,598.18,599.37,600.42,601.47,602.53,603.82,605.13,606.16,607.4,608.62,609.76,611.09,612.41,613.64,614.85,615.94,617.11,618.34,619.56,620.7,621.99,623.38,624.66,625.99,627.45,628.74,630.38,631.57,632.8,634.14,635.61,637.01,638.18
104,Zagreb,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0
105,Tbilisi,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0
106,Montevideo,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0,392.0
107,Ulaanbaatar,196.67,196.79,197.0,197.22,197.43,197.67,197.8,198.03,198.25,198.47,198.65,199.0,199.27,199.51,199.78,199.92,200.25,200.54,200.87,201.14,201.27,201.51,201.82,202.04,202.39,202.61,202.87,203.24,203.49,203.8,204.13,204.33,204.67,204.92,205.3
108,Yerevan,307.55,307.84,308.24,308.68,309.06,309.54,309.98,310.29,310.77,311.27,311.7,312.22,312.62,313.16,313.61,314.07,314.64,315.18,315.74,316.14,316.74,317.3,317.91,318.71,319.22,319.76,320.33,320.96,321.61,322.42,323.0,323.45,324.12,324.59,325.17
109,Kingston,4256.57,4286.94,4319.96,4354.16,4389.41,4422.92,4457.23,4492.18,4525.53,4559.43,4591.91,4622.43,4653.4,4683.42,4714.41,4740.96,4769.86,4796.1,4823.08,4847.8,4872.61,4895.45,4916.24,4934.54,4952.93,4964.42,4977.77,4985.76,4992.18,4998.49,5003.12,5007.87,5011.8,5015.78,5020.45
110,Ljubljana,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
111,Riga,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0
112,Tallinn,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0,137.0
113,Georgetown,2014.79,2018.48,2022.21,2025.65,2029.21,2033.01,2036.54,2040.25,2043.86,2047.71,2051.59,2055.46,2059.37,2062.88,2066.67,2070.54,2074.46,2078.09,2082.17,2085.62,2089.58,2093.77,2097.89,2101.79,2105.63,2109.62,2113.62,2117.8,2122.18,2126.08,2129.97,2134.4,2138.53,2142.46,2146.51
