,city,sl_2016,sl_2017,sl_2018,sl_2019,sl_2020,sl_2021,sl_2022,sl_2023,sl_2024,sl_2025,sl_2026,sl_2027,sl_2028,sl_2029,sl_2030,sl_2031,sl_2032,sl_2033,sl_2034,sl_2035,sl_2036,sl_2037,sl_2038,sl_2039,sl_2040,sl_2041,sl_2042,sl_2043,sl_2044,sl_2045,sl_2046,sl_2047,sl_2048,sl_2049,sl_2050
25,Bangalore,2021.43,2023.65,2025.95,2027.77,2028.98,2031.89,2034.0,2035.92,2038.42,2040.79,2043.23,2045.64,2047.68,2049.97,2050.96,2054.17,2056.39,2059.17,2061.75,2063.98,2066.31,2068.81,2071.39,2074.09,2075.07,2079.26,2082.44,2085.3,2087.85,2090.6,2093.62,2097.08,2100.53,2102.93,2103.94
26,Changzhou,3096.05,3102.96,3108.98,3112.43,3119.63,3124.79,3131.92,3138.93,3145.49,3152.87,3164.68,3172.46,3180.28,3187.68,3195.56,3204.27,3213.03,3222.49,3231.01,3239.33,3248.16,3257.81,3267.26,3276.62,3284.95,3295.61,3305.84,3315.47,3326.33,3336.57,3347.37,3358.46,3369.56,3380.6,3391.41
27,Rio de Janeiro,2162.09,2164.15,2166.61,2168.89,2171.04,2173.2,2175.45,2177.66,2179.83,2182.16,2184.48,2186.78,2189.15,2191.49,2194.09,2196.34,2198.67,2201.2,2203.42,2205.63,2208.1,2210.3,2212.94,2215.46,2217.79,2219.98,2222.4,2224.62,2226.83,2229.41,2231.94,2234.06,2236.69,2239.05,2241.6
28,Shantou,3308.63,3384.69,3461.48,3537.85,3608.31,3696.26,3777.2,3859.59,3940.25,4024.07,4109.94,4195.96,4276.46,4349.93,4403.31,4494.72,4561.22,4626.66,4689.17,4747.83,4802.04,4855.27,4905.37,4951.41,4971.5,5030.74,5065.31,5095.82,5123.1,5148.74,5171.74,5194.12,5216.12,5235.99,5231.16
29,Nanjing,2056.78,2058.76,2061.49,2063.13,2063.86,2064.57,2066.42,2068.98,2070.75,2073.39,2076.99,2079.71,2082.03,2084.39,2087.7,2090.12,2092.56,2095.02,2098.13,2100.32,2103.03,2105.51,2107.68,2110.61,2112.94,2115.51,2118.28,2121.66,2124.78,2127.76,2129.68,2132.76,2136.2,2139.24,2141.77
30,Rhine-Ruhr,2198.11,2199.69,2201.12,2202.5,2203.77,2204.99,2206.19,2207.58,2209.0,2210.25,2211.55,2213.0,2214.33,2215.99,2217.32,2218.96,2220.55,2221.74,2223.26,2224.61,2226.01,2227.45,2228.82,2230.58,2232.05,2233.25,2234.98,2236.25,2237.89,2243.86,2245.66,2247.3,2249.05,2250.71,2252.55
31,Jinan,1605.34,1608.11,1610.55,1611.92,1614.48,1616.94,1619.69,1622.31,1625.29,1628.1,1631.37,1634.08,1637.09,1640.11,1642.74,1645.87,1648.79,1653.61,1656.67,1659.92,1662.86,1666.41,1668.68,1671.72,1674.69,1678.6,1681.81,1685.1,1689.03,1692.3,1695.74,1698.89,1701.96,1704.99,1707.61
32,Chennai,1203.26,1205.39,1207.41,1209.8,1212.17,1214.31,1216.47,1218.77,1220.9,1223.19,1225.58,1228.12,1230.16,1232.48,1235.14,1237.55,1239.69,1242.03,1244.64,1247.15,1249.41,1251.72,1254.18,1256.86,1259.34,1261.9,1265.38,1268.03,1270.91,1273.36,1275.98,1278.87,1281.8,1284.65,1288.63
33,Harbin,1146.69,1169.92,1193.25,1218.65,1246.09,1274.62,1304.81,1335.88,1369.96,1405.27,1441.07,1477.43,1513.71,1552.55,1588.4,1628.39,1670.83,1713.43,1756.85,1802.81,1851.49,1897.3,1947.87,1996.47,2048.26,2100.28,2155.3,2208.63,2265.79,2324.26,2382.59,2441.73,2504.11,2567.41,2631.07
34,Chicago,2829.13,2837.09,2843.84,2851.78,2856.68,2867.14,2874.7,2882.74,2890.62,2897.6,2905.08,2912.54,2920.4,2927.55,2935.61,2942.97,2950.98,2958.91,2966.72,2974.38,2981.89,2989.81,2997.06,3004.96,3014.66,3018.97,3027.3,3035.53,3043.34,3051.86,3060.59,3068.42,3076.48,3084.96,3095.23
35,Zhengzhou,2185.99,2188.71,2191.29,2194.15,2196.54,2199.67,2202.56,2205.67,2208.46,2211.75,2215.09,2217.94,2221.4,2224.66,2228.86,2232.26,2236.01,2239.44,2243.22,2246.59,2250.2,2253.86,2256.96,2260.26,2264.65,2268.65,2272.02,2275.96,2279.76,2283.84,2288.05,2291.87,2296.23,2300.14,2304.95
36,Johannesburg,3225.69,3310.46,3397.93,3486.3,3573.72,3663.42,3752.97,3841.45,3929.93,4020.77,4109.91,4201.62,4288.73,4383.49,4471.06,4568.75,4659.22,4752.74,4847.48,4940.1,5032.56,5123.58,5216.52,5305.95,5385.97,5485.34,5576.37,5664.22,5752.31,5838.45,5924.25,6011.04,6094.76,6180.12,6255.71
37,Hanoi,3389.62,3400.16,3410.69,3421.26,3432.0,3442.89,3454.29,3465.58,3476.85,3487.72,3499.25,3510.78,3522.67,3532.88,3544.79,3556.19,3574.75,3586.17,3598.4,3610.59,3623.24,3634.94,3646.88,3660.35,3676.28,3684.95,3698.52,3711.12,3723.81,3736.3,3748.79,3761.71,3774.92,3787.45,3802.05
38,Berlin,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0
39,Ankara,878.35,900.48,922.48,946.65,971.49,997.0,1024.56,1054.68,1086.48,1120.4,1155.98,1192.56,1232.42,1275.27,1324.56,1368.88,1420.15,1477.83,1539.96,1600.48,1667.01,1735.26,1808.15,1884.08,1969.39,2056.35,2147.19,2243.52,2345.93,2447.78,2555.97,2667.27,2782.11,2901.49,3032.52
40,Bangkok,2891.93,2927.91,2963.81,3002.59,3042.04,3077.6,3116.47,3155.16,3195.95,3235.46,3275.23,3316.43,3354.9,3395.49,3441.22,3476.31,3517.08,3555.43,3596.75,3640.83,3681.84,3721.78,3764.08,3805.55,3855.25,3886.4,3927.85,3965.69,4006.3,4044.95,4083.73,4122.39,4159.45,4197.25,4240.41
41,London,3590.32,3597.18,3604.43,3611.05,3618.14,3625.43,3633.24,3640.5,3648.17,3655.85,3663.51,3671.19,3679.1,3686.35,3694.01,3702.4,3710.37,3718.42,3726.67,3734.67,3742.72,3758.29,3767.17,3776.16,3785.5,3793.84,3802.87,3811.73,3820.76,3829.71,3838.56,3848.47,3857.85,3866.0,3875.54
42,Paris,2512.86,2516.0,2518.95,2522.05,2525.03,2528.31,2531.56,2534.67,2537.77,2541.5,2544.49,2547.71,2550.93,2554.41,2558.01,2561.36,2564.93,2568.38,2571.49,2575.4,2579.04,2583.09,2586.72,2590.3,2594.1,2598.03,2601.95,2606.0,2609.55,2613.41,2617.13,2620.9,2624.72,2627.89,2631.99
43,Rome,1039.9,1041.84,1044.2,1046.11,1048.36,1050.4,1052.78,1054.97,1057.3,1059.43,1061.77,1064.12,1066.61,1068.78,1071.0,1073.46,1075.67,1078.16,1080.64,1082.92,1085.48,1088.19,1090.39,1093.08,1095.46,1098.01,1100.59,1103.01,1105.46,1108.24,1110.64,1113.44,1116.12,1118.63,1121.11
44,Pretoria,3179.54,3265.55,3356.03,3448.12,3546.05,3638.01,3735.11,3829.62,3926.12,4027.12,4122.41,4222.19,4320.53,4423.51,4525.47,4628.37,4729.99,4833.83,4939.09,5042.74,5147.16,5249.05,5354.65,5455.81,5557.57,5659.47,5759.66,5857.99,5955.46,6053.67,6150.42,6247.4,6340.92,6435.48,6528.67
45,Bogota,722.99,723.21,723.51,723.84,724.12,724.39,724.68,724.99,725.29,725.62,725.91,726.15,726.45,726.8,727.08,727.42,727.67,727.98,728.19,728.44,728.72,729.02,729.33,729.68,729.99,730.36,730.72,731.05,731.4,731.72,731.97,732.27,732.55,732.82,733.23
46,Madrid,1592.74,1594.69,1596.86,1598.93,1601.09,1603.5,1605.86,1608.29,1610.76,1613.05,1615.54,1617.82,1620.06,1622.9,1625.45,1627.67,1630.67,1633.13,1635.56,1638.22,1640.84,1643.65,1646.13,1648.47,1651.41,1654.28,1657.11,1659.69,1662.61,1665.32,1667.77,1670.41,1673.45,1676.11,1678.86
47,Buenos Aires,3101.82,3143.28,3186.67,3230.08,3274.09,3317.73,3362.43,3407.16,3452.56,3500.27,3546.31,3594.28,3641.61,3689.48,3738.33,3786.48,3833.85,3882.82,3931.38,3980.14,4028.48,4077.77,4125.53,4172.87,4222.63,4268.4,4316.9,4364.09,4410.15,4457.47,4504.9,4552.55,4599.84,4646.38,4696.44
48,Kiev,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0,580.0
49,Kampala,1257.63,1311.42,1370.02,1433.23,1495.49,1557.82,1624.45,1694.15,1765.49,1839.02,1912.91,1988.21,2067.87,2150.4,2230.58,2313.4,2399.72,2490.0,2581.96,2676.12,2772.78,2868.95,2970.63,3074.33,3179.25,3286.47,3392.88,3502.92,3614.41,3731.94,3848.06,3965.62,4083.06,4201.65,4321.54
50,Algiers,989.84,991.33,992.8,994.44,996.19,997.68,999.28,1000.81,1002.3,1004.04,1005.72,1007.7,1009.41,1011.2,1012.87,1014.64,1016.17,1018.1,1019.9,1021.47,1023.11,1024.59,1026.25,1027.9,1029.57,1031.42,1032.89,1034.54,1036.03,1037.76,1039.48,1041.36,1043.01,1044.52,1046.13
51,Khartoum,1192.86,1208.72,1224.4,1242.67,1259.18,1275.08,1291.98,1308.94,1327.76,1347.85,1367.9,1389.19,1411.2,1432.42,1450.69,1478.19,1501.05,1522.84,1547.87,1571.74,1596.0,1621.83,1647.43,1671.12,1689.76,1727.35,1756.9,1783.42,1812.33,1842.3,1874.53,1905.28,1937.11,1967.8,1992.34
52,Warsaw,776.1,779.25,782.4,785.77,788.89,792.2,795.66,799.26,802.92,806.49,810.18,813.91,818.02,821.61,825.39,829.31,833.28,837.58,842.1,846.13,850.44,854.75,858.65,862.98,867.09,871.61,875.81,880.08,884.83,889.4,894.19,898.37,902.54,907.06,915.42
53,Rabat,418.49,419.28,420.18,421.13,422.07,423.0,423.85,424.92,425.99,426.97,427.91,429.03,429.76,430.88,431.78,432.91,433.95,435.1,436.35,437.52,438.78,439.98,441.11,442.18,443.45,444.75,446.09,447.35,448.65,449.75,450.91,452.08,453.42,454.43,455.74
54,Riyadh,851.3,852.45,853.83,855.16,856.51,857.74,858.95,860.3,861.56,862.78,864.0,865.45,866.82,868.04,869.25,870.55,871.92,873.17,874.46,875.8,877.33,879.03,880.42,881.8,883.12,884.5,885.82,887.34,888.87,890.21,891.56,892.93,894.28,895.74,897.21
55,Lima,908.97,909.22,909.5,909.75,910.0,910.26,910.62,910.9,911.21,911.47,911.75,912.09,912.37,912.66,913.02,913.42,913.74,914.15,914.46,914.77,915.18,915.48,915.71,915.98,916.4,916.75,917.12,917.38,917.65,917.98,918.24,918.51,918.88,919.16,919.52
56,Tashkent,1147.89,1150.86,1153.49,1156.2,1159.45,1161.75,1164.27,1167.08,1169.8,1172.36,1174.64,1177.31,1180.37,1183.02,1185.47,1188.21,1191.18,1193.62,1196.63,1199.27,1202.2,1205.0,1207.94,1210.99,1214.19,1216.95,1219.95,1222.9,1225.86,1229.04,1231.95,1235.34,1238.36,1241.44,1244.7
57,Kuala Lumpur,2390.34,2528.2,2669.99,2814.67,2962.97,3111.39,3259.46,3404.94,3551.27,3702.14,3852.77,4006.67,4162.5,4312.29,4463.39,4613.63,4764.52,4908.19,5053.03,5195.72,5335.85,5472.8,5609.3,5740.22,5867.25,5992.85,6114.3,6234.72,6353.7,6466.71,6578.63,6687.69,6792.41,6892.78,6992.28
58,Maputo,490.92,515.72,543.55,570.4,594.82,628.06,657.72,686.71,715.66,743.59,773.27,802.51,833.57,864.7,885.15,922.45,952.66,984.12,1015.42,1047.74,1079.62,1112.04,1144.52,1178.49,1205.25,1247.71,1284.33,1319.59,1357.2,1392.73,1430.24,1467.97,1505.14,1543.12,1570.97
59,Kathmandu,900.8,907.33,913.96,920.28,927.72,933.83,940.67,947.94,955.46,963.35,971.98,979.6,986.18,994.48,1006.25,1012.83,1027.69,1037.83,1048.6,1062.93,1076.31,1090.9,1102.74,1117.78,1134.66,1150.2,1169.04,1189.65,1213.16,1237.58,1263.84,1291.6,1320.43,1353.33,1392.49
