"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,7603,7907,8204,8507,8995,9083,9352,9628,9903,10185,10478,10776,11061,11332,11736,11838,12079,12308,12525,12738,12937,13155,13372,13577,14060,13979,14174,14354,14522,14709,14873,15036,15183,15310,15785
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,5028,5185,5300,5421,5540,5636,5730,5834,5943,6012,6113,6196,6304,6394,6489,6582,6665,6747,6837,6938,7031,7122,7257,7344,7592,7532,7625,7713,7813,7905,7990,8061,8159,8259,8570
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,3493,3552,3659,3749,3832,3909,3978,4040,4118,4190,4240,4311,4380,4433,4476,4523,4573,4626,4676,4710,4754,4799,4837,4882,4917,4967,5020,5061,5108,5144,5186,5226,5277,5323,5361
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,8375,8455,8534,8613,8743,8774,8860,8945,9032,9119,9220,9319,9407,9500,9628,9669,9757,9832,9904,10002,10067,10142,10220,10273,10402,10410,10484,10553,10628,10708,10817,10914,11010,11114,11267
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,3169,3423,3711,3984,4309,4529,4820,5056,5343,5599,5854,6113,6375,6655,7035,7233,7478,7761,8038,8303,8605,8926,9195,9458,9912,9952,10181,10403,10607,10779,10940,11143,11305,11504,11980
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,3297,3346,3383,3433,3473,3515,3550,3585,3615,3644,3679,3701,3737,3762,3790,3814,3832,3865,3894,3912,3936,3954,3976,3995,4014,4029,4055,4075,4098,4122,4141,4165,4184,4206,4219
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,7859,8005,8146,8280,8392,8484,8574,8655,8739,8809,8891,8957,9031,9095,9155,9211,9275,9328,9381,9437,9490,9557,9604,9651,9737,9750,9803,9845,9952,9984,10016,10069,10109,10172,10294
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,3481,3561,3653,3732,3798,3883,3937,4031,4092,4147,4196,4243,4286,4340,4375,4426,4457,4494,4553,4579,4605,4639,4662,4682,4711,4737,4763,4790,4814,4841,4898,4922,4948,4973,5040
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,9244,9684,10075,10437,10840,11007,11265,11509,11731,11909,12067,12195,12323,12432,12606,12610,12675,12730,12789,12819,12846,12878,12902,12911,12992,12945,12961,12972,12981,12994,12997,13008,13016,13028,13096
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,10404,10760,11106,11440,11804,12053,12333,12615,12888,13181,13461,13710,14006,14285,14652,14837,15097,15304,15515,15702,15869,16012,16120,16255,16534,16456,16553,16659,16756,16834,16894,16975,17045,17125,17369
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,4682,4810,4905,4999,5060,5179,5265,5338,5405,5470,5543,5606,5658,5707,5824,5803,5842,5873,5912,5946,5988,6022,6060,6102,6202,6166,6203,6232,6260,6294,6326,6364,6400,6426,6514
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,8435,8803,9143,9426,9696,9783,9900,10010,10127,10246,10339,10411,10489,10560,10698,10662,10684,10713,10737,10758,10771,10785,10797,10806,10888,10832,10847,10862,10873,10891,10905,10915,10920,10924,10978
"13",12,"São Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,6980,7349,7715,8059,8596,8801,9122,9450,9804,10146,10486,10824,11174,11473,11874,12098,12407,12685,12962,13229,13482,13691,13930,14153,14390,14514,14674,14847,14987,15122,15258,15395,15495,15618,15758
"14",13,"Mumbai"," India",72.8776559,19.0759837,0.588457092743388,2016,2054,2078,2111,2159,2190,2208,2240,2260,2289,2312,2343,2372,2394,2417,2441,2458,2477,2491,2499,2514,2530,2552,2575,2593,2611,2631,2652,2668,2692,2709,2732,2745,2777,2784
