,SSP1,SSP2,SSP3,SSP4,SSP5
0,4914.222720285498,4894.247140689498,4883.879239389198,4892.660571655643,4933.529169864858
1,3924.5889504533557,3911.2511326286026,3899.157906377727,3903.1638363084307,3938.8356743772197
2,2700.5966628562082,2692.9212099138203,2679.617049672548,2696.648566936482,2716.026698470132
3,6769.103079315989,6751.497165451792,6741.79318388421,6747.468068963827,6783.386509231685
4,1383.6022613416133,1376.9118406840973,1371.6683262101055,1372.5259072837362,1391.4621494476064
5,3111.6212309389575,3138.1146327493125,3174.1802169339185,3120.5477080396004,3098.0802226663636
6,6971.416191330676,6960.988683500858,6946.438210670215,6963.843010332137,6986.982457235137
7,3003.273580607327,3031.979888331781,3066.8610672387126,3065.415161809634,3000.563406548216
8,5496.238697162409,5461.398013419165,5443.275162532476,5458.626491723867,5529.818668040431
9,6887.434936769384,6843.845596325142,6821.172236173542,6840.378156797896,6929.447516742353
10,4065.941829170823,4061.6031478954974,4048.283045712082,4059.228462022672,4077.3497228163446
11,6453.601558127458,6784.194985221803,7061.9326500342095,6363.978713366911,6448.500461909332
12,4355.597797665629,4348.628258510187,4343.193702968253,4344.080859891531,4363.8360650046425
13,1866.586730717522,1879.5933912772148,1891.83206103547,1874.248551197486,1866.3799812222828
14,3543.8596832608773,3543.350507047379,3542.3693537700174,3543.133865382613,3544.537398511881
15,2119.7981495257914,2146.356827304579,2168.1091571381717,2112.471430443359,2119.3823435030517
16,5027.973367727935,5020.763107884623,4998.627027405959,5016.816723925358,5046.931634590462
17,2738.9194053915962,2725.9734735213187,2719.199279023088,2725.2799065324693,2751.3049681570715
18,1501.3521950763454,1497.7524646994452,1495.8675271787745,1497.637078606848,1504.7742306334353
19,2350.1058087270117,2342.266427718937,2338.156297352576,2342.0149294820912,2357.546320857694
20,2084.1157248740237,2080.741018215085,2076.023446437208,2075.6904854767436,2090.370259917867
21,5362.015576894118,5357.200662090332,5352.9462975703245,5354.663622710562,5366.957883091599
22,2555.94309062551,2569.4425903637753,2583.968729458055,2537.918929124037,2563.7723909730294
23,2988.545076493198,2991.215140411278,2994.814283332419,2985.2177372446595,2988.897018245582
24,1774.899147494461,1770.464580441267,1768.1384879915727,1770.400207207906,1779.0682569502383
25,2063.062667677132,2067.1925365829084,2071.712923738596,2063.1289506790254,2064.825693304857
26,3104.5384951722162,3156.788962467033,3201.1633815650575,3080.8163010607864,3104.905632349122
27,2164.8346218451607,2163.9239531337626,2163.215157707399,2163.330785902876,2165.913493411001
28,3250.5693671392855,3320.6189833358076,3378.338868796055,3231.3241808012003,3249.4764154273944
29,2074.153705847054,2070.817021013348,2069.0716676748925,2070.7101430355037,2077.3299493948584
30,2194.0,2194.0,2194.0,2194.0,2194.0
31,1620.6798360265504,1619.5880409163917,1619.7453221928963,1616.5324131261734,1623.7012898389821
32,1227.6627683206923,1236.7381686846445,1245.280310639613,1233.0084574041146,1227.5185317458124
33,1049.9571324923265,1059.9479261534186,1068.1140792414196,1047.1971730340374,1049.8005352551047
34,2859.784164575451,2857.175295906305,2849.7480520033237,2856.233726540028,2866.34959288097
35,2250.615096602118,2241.2458152476224,2236.3280987219987,2240.945009638284,2259.4951726745207
36,3265.206916272422,3259.213556659171,3219.324616221214,3227.207753793551,3287.281944366337
37,3415.086915734531,3421.5604201061624,3431.1717450191995,3411.453713913511,3415.1615311292485
38,974.0,974.0,974.0,974.0,974.0
39,862.890409520305,861.7391268887412,860.1306921049011,860.0172133297875,865.0256618499218
40,2910.5102887686203,2992.14927659101,3026.4238257551388,2892.5721410203746,2966.03915738076
41,3626.6095720777307,3622.691566824515,3596.7062598385155,3611.90505619362,3647.727965112458
42,2581.274232747726,2575.054414454156,2545.5409828715106,2563.3038137412477,2605.419976369958
