"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,8156,8465,8773,9107,9607,9690,9976,10280,10575,10891,11168,11478,11778,12055,12505,12572,12817,13051,13268,13503,13739,13949,14162,14362,14855,14760,14941,15118,15252,15426,15579,15729,15861,15974,16481
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,5719,5888,6056,6203,6377,6546,6679,6825,6942,7096,7249,7363,7506,7661,7801,7928,8051,8154,8279,8435,8563,8681,8808,8926,9367,9182,9295,9415,9519,9647,9780,9885,10010,10137,10609
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,3975,4106,4206,4312,4399,4490,4584,4693,4778,4871,4950,5042,5115,5186,5274,5360,5452,5537,5611,5672,5768,5849,5924,5990,6057,6142,6214,6294,6389,6478,6539,6619,6706,6783,6855
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,8505,8589,8683,8754,8905,8926,9021,9096,9198,9281,9386,9479,9582,9672,9823,9859,9940,10025,10098,10173,10240,10318,10409,10488,10617,10656,10754,10853,10955,11067,11167,11285,11404,11496,11643
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,3499,3818,4142,4457,4857,5092,5390,5697,6001,6287,6569,6868,7164,7511,7967,8154,8491,8798,9107,9440,9722,10010,10297,10532,11019,11024,11268,11512,11725,11951,12201,12427,12628,12856,13381
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,3519,3591,3642,3704,3741,3790,3842,3883,3924,3969,4005,4041,4081,4115,4156,4178,4202,4230,4267,4292,4330,4359,4380,4408,4447,4474,4507,4531,4555,4584,4610,4625,4660,4684,4706
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,8492,8634,8777,8889,9005,9124,9218,9310,9405,9488,9562,9654,9716,9789,9895,9914,9995,10073,10137,10197,10245,10313,10388,10441,10538,10546,10597,10646,10707,10759,10807,10860,10911,10987,11156
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,3894,3992,4111,4169,4257,4325,4394,4462,4514,4572,4621,4653,4701,4740,4781,4820,4859,4905,4949,4979,5016,5057,5083,5113,5141,5170,5194,5225,5264,5302,5331,5354,5380,5403,5500
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,9701,10132,10548,10915,11361,11530,11768,11988,12179,12327,12464,12570,12675,12756,12904,12872,12916,12956,12985,13010,13033,13052,13079,13094,13178,13130,13146,13149,13154,13169,13180,13185,13193,13202,13274
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,10870,11217,11568,11876,12256,12444,12728,13019,13301,13585,13882,14171,14508,14781,15190,15285,15500,15698,15868,16016,16149,16272,16404,16518,16822,16740,16850,16933,17025,17094,17188,17260,17336,17402,17639
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,5076,5190,5312,5415,5674,5583,5646,5711,5784,5844,5904,5966,6012,6058,6347,6161,6204,6237,6292,6338,6377,6419,6470,6512,6788,6590,6623,6666,6700,6743,6785,6828,6867,6905,7186
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,8822,9172,9438,9632,9893,9930,10038,10134,10236,10335,10422,10491,10553,10615,10749,10692,10721,10748,10764,10778,10797,10811,10825,10844,10927,10865,10879,10895,10905,10917,10922,10924,10926,10929,10989
"13",12,"São Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,7388,7737,8096,8474,9056,9224,9547,9925,10260,10632,10979,11312,11646,12004,12448,12670,12964,13219,13490,13716,13963,14208,14415,14617,14884,14983,15123,15295,15438,15592,15723,15846,15951,16076,16264
"14",13,"Mumbai"," India",72.8776559,19.0759837,0.588457092743388,2206,2264,2309,2341,2389,2425,2464,2504,2532,2568,2594,2622,2649,2680,2707,2726,2759,2789,2814,2847,2877,2917,2947,2972,3001,3030,3053,3078,3096,3125,3153,3177,3202,3226,3259
