"","","city","country_x","corX","corY","radius","2016_sl","2017_sl","2018_sl","2019_sl","2020_sl","2021_sl","2022_sl","2023_sl","2024_sl","2025_sl","2026_sl","2027_sl","2028_sl","2029_sl","2030_sl","2031_sl","2032_sl","2033_sl","2034_sl","2035_sl","2036_sl","2037_sl","2038_sl","2039_sl","2040_sl","2041_sl","2042_sl","2043_sl","2044_sl","2045_sl","2046_sl","2047_sl","2048_sl","2049_sl","2050_sl"
"1",0,"Beijing","China",116.4073963,39.9041999,0.598026128191737,4465,4493,4538,4579,4616,4666,4715,4760,4805,4850,4886,4921,4958,4998,5037,5078,5116,5145,5173,5198,5232,5262,5287,5317,5334,5356,5371,5381,5389,5399,5406,5416,5421,5424,5429
"2",1,"New Delhi","India",77.2090212,28.6139391,0.596441950234891,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747,3747
"3",2,"Washington D.C.","United States",-77.0368707,38.9071923,0.594853553406214,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602,2602
"4",3,"Jakarta","Indonesia",106.8283415,-6.180495,0.593260903818885,6198,6259,6313,6364,6410,6465,6523,6583,6655,6724,6804,6853,6929,6984,7044,7125,7182,7233,7289,7340,7392,7444,7485,7530,7565,7603,7637,7669,7704,7724,7756,7792,7816,7850,7877
"5",4,"Brasilia","Brazil",-47.9218204,-15.826691,0.591663967129992,1082,1133,1179,1231,1288,1339,1404,1461,1526,1588,1658,1719,1788,1864,1935,2023,2104,2186,2265,2341,2407,2471,2519,2560,2599,2630,2662,2685,2707,2721,2741,2756,2775,2790,2803
"6",5,"Mexico City","Mexico",-99.133208,19.4326077,0.590062708531898,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
"7",6,"Tokyo","Japan",139.6917064,35.6894875,0.588457092743388,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902,6902
"8",7,"Manila","Philippines",120.9842195,14.5995124,0.586847084000594,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830,2830
"9",8,"Shanghai"," China",121.473701,31.230416,0.596441950234891,4737,4780,4832,4856,4905,4955,5014,5055,5099,5132,5174,5213,5251,5271,5316,5347,5385,5410,5445,5484,5527,5564,5594,5627,5655,5679,5705,5725,5755,5774,5798,5826,5853,5875,5887
"10",9,"Guangzhou"," China",113.264385,23.12911,0.594853553406214,5456,5663,5899,6136,6345,6558,6789,7025,7217,7448,7635,7824,8011,8208,8285,8524,8669,8807,8932,9045,9158,9256,9353,9447,9360,9619,9693,9768,9831,9902,9954,10012,10046,10100,9950
"11",10,"New York City"," United States",-74.0059728,40.7127753,0.593260903818885,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930,3930
"12",11,"Shenzhen"," China",114.057865,22.543096,0.591663967129992,4912,5173,5425,5696,5904,6167,6396,6594,6771,6991,7177,7362,7549,7723,7787,8031,8159,8274,8385,8501,8607,8701,8805,8890,8851,9030,9096,9155,9212,9266,9322,9372,9431,9478,9393
"13",12,"São Paulo"," Brazil",-46.6333094,-23.5505199,0.590062708531898,3656,3776,3946,4117,4268,4454,4617,4797,4997,5213,5386,5622,5839,6046,6225,6463,6677,6900,7106,7316,7511,7752,7988,8213,8418,8695,8944,9213,9455,9692,9934,10151,10367,10592,10782
