,SSP1,SSP2,SSP3,SSP4,SSP5
0,5392.221815738649,5281.100365124002,5220.121096655662,5281.778670446224,5488.516138196131
1,4393.428724713654,4314.58394096141,4245.582931907065,4280.86945098423,4467.009770605706
2,2911.791263703294,2873.241668441528,2819.1644897254437,2897.42010383419,2983.949925679795
3,7132.049767506099,7054.4655517152905,7009.852942075794,7041.499804117826,7192.478921399667
4,1659.6845075315566,1609.6966357610677,1571.9008486559728,1593.669608183916,1709.343401731947
5,3310.4378017629383,3436.471783892111,3632.5703052045137,3342.8004884825914,3236.677116025236
6,7183.090661604142,7106.220244862199,7032.209413142317,7159.71196299753,7286.697596989539
7,3371.514524281745,3511.053801966587,3698.9691721151576,3689.0225836479667,3353.73688549211
8,6382.472358912399,6175.718506792136,6062.404418027841,6177.177886976844,6561.951055566613
9,7995.893262788877,7737.299779541207,7595.573541321869,7739.123951116478,8220.371147537038
10,4334.845160016641,4288.375090841525,4220.847534407593,4317.776793238709,4420.615386568566
11,6674.950486727823,7537.192132232205,8757.435150944868,6477.134304761633,6665.544672696884
12,4607.548772219863,4561.967741072876,4527.710196253078,4547.102323247601,4653.085674131523
13,1969.1848409259746,2022.335493843155,2080.9070176525556,1992.0833947632573,1968.0978658000888
14,3564.122854002462,3557.7293359044475,3551.212657727501,3562.0546682520817,3572.71701621324
15,2137.3007503750678,2202.3413170074705,2285.663881959232,2121.5576009580236,2136.5577293062615
16,5482.8504377380505,5403.814522743894,5289.37481922279,5453.820377993358,5629.220705744678
17,3008.8418368831767,2945.9181682234644,2911.015435952656,2946.0161817931566,3063.606703175211
18,1564.761638824195,1550.004216633305,1541.79788938731,1549.9714287633803,1577.8038946829179
19,2490.852494650165,2458.1162373940756,2439.911786096299,2458.0507654122703,2519.7879354249544
20,2335.2861730100685,2311.9290138107826,2281.3204920844546,2289.433668723402,2370.1530543831377
21,5491.090808412446,5469.4378242792645,5450.40862399222,5459.900792705168,5511.604797797568
22,2723.0081201828916,2760.118085603312,2802.8087207352573,2660.120780373495,2752.4082819405253
23,3093.6509264738834,3097.5223863257597,3108.8671436569775,3072.568703246291,3100.7804120569563
24,1846.6002683973707,1829.7920361690199,1820.5361019420902,1829.7664311822175,1861.7537854460186
25,2173.6246229175786,2184.4527305384254,2198.8121264265656,2166.7791801319026,2183.7507713621285
26,3176.762824748628,3339.1089909984144,3481.3636713557667,3103.8242216382437,3178.3984455695086
27,2196.3362813967456,2190.638972004418,2186.3647449060086,2188.7696649384416,2202.039054119921
28,3296.902669362263,3470.979355045438,3699.256024996912,3255.2908048978225,3294.9353157756527
29,2132.012552575191,2118.5398516372607,2111.0479771944897,2118.507445257569,2143.917934983803
30,2194.0,2194.0,2194.0,2194.0,2194.0
31,1679.4549054156914,1672.3850071782945,1670.2972064076487,1663.983313004055,1690.9192716591488
32,1299.376546658407,1336.6089365888283,1377.702663842088,1315.4099770125881,1298.6156944860934
33,1056.533202992665,1080.8808532866706,1111.8292743929273,1050.6151449179906,1056.2540542097327
34,3007.6227839352864,2982.61494520232,2945.9898235941378,2998.4524822618237,3053.5605741595036
35,2421.734680964561,2381.9549692015535,2359.8328795416405,2381.883321942589,2456.8996390328803
36,3887.9542001783498,3843.8689824868634,3680.9899763566623,3681.8428610827864,4016.264740949804
37,3576.8189827193687,3597.044719687885,3630.961858948968,3557.2828604814044,3580.897887738208
38,974.0,974.0,974.0,974.0,974.0
39,946.633574590518,938.8480857336509,928.6502639624877,931.3393959927926,958.2642630862774
40,3445.5602134464334,3793.7609102851598,3967.8416663453945,3382.244697563191,3678.478664845843
41,3794.928515526682,3777.431377730029,3640.6814652596818,3719.900403975682,3907.450130535764
42,2793.2842113166907,2765.4465873202453,2606.730661436979,2701.6591302465504,2928.3430779838604
43,1094.3375031377855,1057.532352685934,1030.0,1033.0359098724775,1229.7299820442033
44,3929.922288645993,3863.6754177366574,3691.151149945414,3716.9382777646947,4063.7449292305228
45,751.255226387302,748.0327808715308,745.6042363116165,746.512727497756,755.1799139092913
46,2405.283173390819,2268.2082083165774,1673.3609725956214,2092.6013516854437,3172.492935240379
47,3265.08543887012,3317.1546734412386,3391.9769640587297,3260.5319966878346,3266.375475150151
48,593.4229132005252,591.0229160289092,589.1023938008292,590.8319562703707,595.9085140993747
49,1630.4271752773961,1625.2684319011323,1623.4782540332349,1603.8075840857578,1670.6551966230898
50,1085.9606914269793,1103.1279088366116,1130.1242598464544,1088.7805950988347,1085.6653103479875
51,1797.4130739523155,1966.178822073505,2154.5871616688923,2169.6097805128234,1807.6742357520366
52,809.6162913842945,803.9832475001599,796.2890397931959,807.5352755546231,818.4884754035336
53,546.8735214423695,532.3807970860446,520.5620962747504,522.6633905446406,555.4762540409968
54,870.7261371576394,870.2833172723145,870.7270431084667,874.5533271045765,876.3905904879548
55,1026.7285832065688,1020.4031226350025,1028.754611260223,1013.4059372202204,1029.137953353401
56,1195.1177297509382,1189.6002485302045,1185.854730691883,1188.5840271297884,1197.0588705650425
57,2762.455702169001,2715.403167016634,2667.3953499887666,2686.0834447632415,2818.9768055328104
58,1794.0929327875647,1621.7713535521875,1510.705399277104,1464.385755628337,1961.3314627490365
59,1416.8968544927777,1601.187449060332,1913.9988765748685,1899.7727218289026,1393.1118800889453
60,1489.3169761420438,1643.6260023973866,1795.4173425479155,1793.7418078544679,1476.0856494077302
61,536.4219582624631,530.573206777467,531.0651835750407,525.8179536855655,551.9916667129307
62,1917.0172505399653,1886.5182257157503,1853.8799822019378,1868.0022559910662,1945.5688357290567
63,569.8240141957369,566.1622552753702,563.8446835409331,565.7521361289539,573.0229734142492
64,943.9224661074604,974.2473067850493,1013.7713180140568,997.4480680849465,951.8741988169373
65,597.8319625281797,541.1850488008135,518.4367810080282,510.41482082019314,624.9241012545483
