,city,country_x,2000_ls,2005_ls,2010_ls,2015_ls,region,p2000,p2005,p2010,p2015,g2000,g2005,g2010,g2015
64,Ouagadougou,Burkina Faso,174,252,384,512,Africa,12.294012,14.198463,16.468714000000006,18.897654145077183,10.649819706982568,14.297802800858992,18.709,25.251
65,Bamako,Mali,150,217,292,315,Africa,11.295324,13.176642,15.369808999999993,17.738446366659677,8.571501100968232,11.655456275341853,14.86,16.7088
66,Santiago,Chile,889,935,916,983,Americas,15.41982,16.301726000000002,17.113687999999975,17.849619855429715,161.4363114086231,198.3655354659494,232.988,295.25600000000003
67,Lusaka,Zambia,150,185,243,271,Africa,10.201562,11.462365,13.088569999999994,14.96624419240543,10.495238938542261,13.26875889919377,18.112,25.2288
68,Amsterdam,Netherlands,1353,1675,1700,1855,Europe,15.862825,16.305457,16.612988,16.934223255828222,536.5430005713451,572.9006027022982,614.809,658.5378
69,Guatemala City,Guatemala,562,725,777,842,Americas,11.237101000000001,12.717154,14.388928999999996,15.961157190909924,44.49699565188581,51.651820181191354,61.823,71.3522
70,Quito,Ecuador,336,401,451,504,Americas,12.345023,13.426402,14.464739000000003,15.418432680816869,66.43064229445932,87.41117300627778,104.16,126.9078
71,Dakar,Senegal,204,240,300,401,Africa,9.505861999999999,10.871908,12.433727999999993,14.03004646396318,14.497854955923621,18.208361231473138,21.61,26.343399999999995
72,Conakry,Guinea,180,180,215,339,Africa,8.344486000000002,9.041448,9.98159,10.883046376490281,7.399539642593315,8.778188406287203,9.766,13.502600000000001
73,Tunis,Tunisia,415,583,619,682,Africa,9.456117,9.912113999999999,10.480934000088313,10.98578984828219,58.1207406212837,72.03194485140763,89.757,102.107
74,Brussels,Belgium,1099,1201,1206,1104,Europe,10.175683999999999,10.414209000000001,10.712065999999997,11.001528934091553,311.62222848641545,337.2131232999723,357.666,385.78200000000004
75,Porto Novo,Benin,373,472,596,938,Africa,6.517810000000001,7.633756999999999,8.849891999999997,10.130219949415196,8.515287806131017,10.298986960318315,12.601,15.1528
76,Athens,Greece,538,624,634,604,Europe,10.986883,11.183114,11.359346000000007,11.449489436756403,221.80758420203622,270.36380631620835,273.897,256.69840000000005
77,La Paz,Bolivia,120,179,179,196,Americas,8.307248,9.146655,9.929849,10.65250149910134,29.631901156020263,34.501536008061414,43.19,54.72760000000001
78,Port au Prince,Haiti,450,528,695,737,Americas,8.645370999999999,9.347262,9.993247000000002,10.560943508882607,9.830036010290577,9.564420027366756,9.918,13.017000000000001
79,Santo Domingo,Dominican Republic,380,398,570,641,Americas,8.591967,9.264267,9.92732,10.494078097400124,49.70514427691694,59.109442656999,83.26,103.6978
80,Prague,Czech Republic,432,469,472,511,Europe,10.24289,10.220638000000001,10.492959999999997,10.757254705999562,173.47158214570143,208.4250319573868,248.639,285.54159999999996
81,Lisbon,Portugal,569,461,765,815,Europe,10.336209,10.543663,10.675571999999985,10.801281849433263,215.7890492156284,224.64067555036334,230.606,229.7322
82,Stockholm,Sweden,543,443,447,539,Europe,8.860153,9.029345,9.379684649816978,9.772615005857435,258.5820036881537,295.29393766213633,316.691,364.0184
83,Baku,Azerbaijan,390,357,372,677,Asia,8.110723,8.587902,9.187782999999987,9.685940577988026,20.04064261531394,37.73096549151678,80.696,91.52680000000001
84,Budapest,Hungary,641,711,715,784,Europe,10.210545,10.086936,9.983645000000012,9.852843274755637,139.62047710819522,171.22348817260536,169.548,177.62640000000002
85,Amman,Jordan,454,605,683,909,Asia,4.827095999999999,5.342002000000001,6.187227000000001,7.058330322966515,17.225509547278595,23.456024693216758,31.744,39.179199999999994
86,Minsk,Belarus,282,323,325,325,Europe,10.05781,9.825102000000001,9.595421000000005,9.424192384903225,58.12948597424623,83.49152746365574,118.671,145.29059999999998
87,Abu Dhabi,United Arab Emirates,151,143,179,178,Asia,3.033491,4.069349,7.511689999999995,9.735233755996598,209.54767082562716,272.05519556289624,318.142,440.8224
88,Belgrade,Serbia,411,325,313,318,Europe,10.133561,9.856152,9.856221999999992,9.77430010483236,48.91276572762733,63.43362612174072,69.977,75.5568
89,Vienna,Austria,550,493,509,524,Europe,8.004712,8.232196,8.393643974646494,8.55372066185937,254.57338344202216,276.67216074303315,296.85,330.4244
90,Bern,Switzerland,257,428,344,342,Europe,7.167908000000001,7.415006999999999,7.664318000000001,7.897587006481844,249.38857279169684,266.12982123317454,294.115,322.4228
91,Tel Aviv1,Israel,900,875,1019,1193,Asia,6.014953,6.604572,7.418400000000003,8.308509668547163,145.73288028756,162.09581371520994,198.145,245.67440000000002
92,Lome,Togo,134,352,411,632,Africa,4.7935039999999995,5.408044,6.027798000000001,6.632575454445242,4.171727661558106,4.641277061308775,5.414,6.882
93,Sofia,Bulgaria,316,289,324,364,Europe,8.006158000000001,7.739115,7.494331999999999,7.266280625045363,58.20729503627108,75.99580835408732,86.738,96.12620000000001
94,Asuncion,Paraguay,304,590,612,628,Americas,5.343539,5.897816,6.454547999999999,6.978981405145201,20.272390462647646,23.00612611143607,30.001,37.109
95,San Salvador,El Salvador,579,707,697,704,Americas,5.940305,6.050513,6.192993000000002,6.294680560064887,30.71737583250116,34.50116034568573,37.019,40.08240000000001
96,Managua,Nicaragua,235,263,298,324,Americas,5.073703999999999,5.424336,5.788162999999996,6.088398567348019,10.846829498919893,12.668882015026988,14.467,17.307
97,Beirut,Lebanon,348,476,432,911,Asia,3.7423290000000002,4.05242,4.227596999999995,4.382064031897525,32.28801911172152,38.88414893217144,53.347,62.087799999999994
98,Copenhagen,Denmark,569,665,672,695,Europe,5.339501,5.419444,5.550142000000004,5.677506214813795,169.01248455635954,179.88849235221346,180.168,194.0452
99,Singapore,Singapore,623,800,881,975,Asia,3.9193000000000002,4.265999,5.086417999732057,5.519919194769575,153.20814637570032,193.55742253165937,264.851,321.9782
100,Helsinki,Finland,378,360,346,402,Europe,5.17337,5.244342,5.364545106066303,5.491566528650421,141.48039989026606,161.09683205175995,170.072,190.22820000000002
101,Oslo,Norway,277,295,276,340,Europe,4.490859,4.623298,4.883110933672868,5.150537434858261,195.99675030304735,218.70742183787078,228.255,257.3024
102,San Jose,Costa Rica,1294,1539,1590,1655,Americas,3.91918,4.309412999999999,4.658887,4.991414787504967,31.89116994742269,38.963718160952126,48.697,60.5364
103,Dublin,Ireland,445,483,567,584,Europe,3.80378,4.158042,4.469899999999999,4.765930212040878,123.21621663300071,160.66927388737076,160.981,178.8768
104,Zagreb,Croatia,275,304,300,270,Europe,4.505533000000001,4.441986,4.403330000000003,4.370258913477157,54.80443940855509,68.16895219940194,71.255,73.75359999999999
105,Tbilisi,Georgia,251,226,224,235,Asia,4.7457650000000005,4.477006,4.352244000000001,4.252334173158908,11.055598738359787,15.74675994804278,20.242,27.2554
106,Montevideo,Uruguay,399,392,398,394,Americas,3.319066,3.322529,3.3687859999999983,3.3961239167020523,31.717793838629312,32.008625140932,42.434,51.73479999999999
107,Ulaanbaatar,Mongolia,126,147,154,195,Asia,2.411369,2.547339,2.7560010000000004,2.9528121930249966,5.324965800559573,7.289666694707848,9.977,17.729200000000002
108,Yerevan,Armenia,336,287,283,325,Asia,3.076098,3.065954,3.0920719999999995,3.0734742618112803,7.060746192609256,12.55949696777251,15.153,18.1752
109,Kingston,Jamaica,3389,3822,3921,3961,Americas,2.581648,2.681653,2.7410520000000003,2.783070193266497,16.917373243320284,18.62553875727014,18.919,19.9708
110,Ljubljana,Slovenia,157,150,152,155,Europe,1.985406,2.002084,2.02968,2.0650114238934743,39.31361429449099,46.962272774988634,51.321,55.247400000000006
111,Riga,Latvia,189,226,223,203,Europe,2.3849720000000003,2.305528,2.252060000000001,2.1831210677387336,20.258867049966675,30.02819361788855,28.991,35.4106
112,Tallinn,Estonia,126,133,132,134,Europe,1.370749,1.345857,1.3411400000000007,1.3342140920570886,15.067488237854823,22.275160114963352,22.253,27.7072
113,Georgetown,Guyana,1615,1802,1814,1932,Americas,0.733101,0.746235,0.7544929999999999,0.7616787383446704,1.8271839197579232,1.8927362588263712,2.342,3.0233999999999996
